Package,File,"Number of errors"
@npmcli_move-file,.commitlintrc.ts,0
@npmcli_move-file,.eslintrc.ts,1
@npmcli_move-file,lib/index.ts,11
array-includes,auto.ts,0
array-includes,implementation.ts,0
array-includes,index.ts,0
array-includes,polyfill.ts,0
array-includes,shim.ts,0
asn1.js,.eslintrc.ts,0
asn1.js,lib/asn1/api.ts,7
asn1.js,lib/asn1/base/buffer.ts,3
asn1.js,lib/asn1/base/index.ts,0
asn1.js,lib/asn1/base/node.ts,29
asn1.js,lib/asn1/base/reporter.ts,3
asn1.js,lib/asn1/constants/der.ts,5
asn1.js,lib/asn1/constants/index.ts,5
asn1.js,lib/asn1/decoders/der.ts,10
asn1.js,lib/asn1/decoders/index.ts,1
asn1.js,lib/asn1/decoders/pem.ts,3
asn1.js,lib/asn1/encoders/der.ts,14
asn1.js,lib/asn1/encoders/index.ts,1
asn1.js,lib/asn1/encoders/pem.ts,2
asn1.js,lib/asn1.ts,1
asn1.js,rfc/2560/index.ts,3
asn1.js,rfc/5280/index.ts,2
browserify-rsa,index.ts,0
browserify-zlib,karma.conf.ts,0
browserify-zlib,src/binding.ts,3
browserify-zlib,src/index.ts,39
capture-exit,example.ts,1
capture-exit,index.ts,1
capture-exit,process-exit-during-final-exit-subprocess.ts,0
create-ecdh,browser.ts,7
create-ecdh,index.ts,0
des.js,lib/des/cbc.ts,0
des.js,lib/des/cipher.ts,5
des.js,lib/des/des.ts,2
des.js,lib/des/ede.ts,0
des.js,lib/des/utils.ts,3
des.js,lib/des.ts,0
ecc-jsbn,index.ts,3
ecc-jsbn,lib/ec.ts,9
ecc-jsbn,lib/sec.ts,2
esrecurse,esrecurse.ts,1
esrecurse,gulpfile.babel.ts,8
for-each,index.ts,9
fs-write-stream-atomic,index.ts,9
get-symbol-description,getInferredName.ts,2
get-symbol-description,index.ts,0
has-tostringtag,index.ts,0
has-tostringtag,shams.ts,0
has-values,index.ts,0
is-nan,auto.ts,0
is-nan,implementation.ts,0
is-nan,index.ts,0
is-nan,polyfill.ts,0
is-nan,shim.ts,0
is-symbol,index.ts,6
is-weakset,index.ts,0
jsprim,lib/jsprim-jsv.ts,1
jsprim,lib/jsprim.ts,43
levn,lib/cast.ts,0
levn,lib/index.ts,0
levn,lib/parse-string.ts,2
makeerror,lib/makeerror.ts,3
miller-rabin,lib/mr.ts,8
mississippi,index.ts,0
object-is,auto.ts,0
object-is,implementation.ts,3
object-is,index.ts,0
object-is,polyfill.ts,0
object-is,shim.ts,0
object.assign,auto.ts,0
object.assign,browserShim.ts,0
object.assign,hasSymbols.ts,3
object.assign,implementation.ts,1
object.assign,index.ts,0
object.assign,polyfill.ts,6
object.assign,shim.ts,0
object.entries,auto.ts,0
object.entries,implementation.ts,0
object.entries,index.ts,0
object.entries,polyfill.ts,0
object.entries,shim.ts,0
object.values,auto.ts,0
object.values,implementation.ts,0
object.values,index.ts,0
object.values,polyfill.ts,0
object.values,shim.ts,0
request-promise-core,configure/request-next.ts,0
request-promise-core,configure/request2.ts,0
request-promise-core,errors.ts,0
request-promise-core,gulpfile.ts,0
request-promise-core,lib/errors.ts,0
request-promise-core,lib/plumbing.ts,9
shallow-clone,index.ts,4
side-channel,index.ts,6
snapdragon-util,gulpfile.ts,0
snapdragon-util,index.ts,6
source-map-resolve,index.ts,13
stream-browserify,index.ts,0
string.prototype.trimend,auto.ts,0
string.prototype.trimend,implementation.ts,2
string.prototype.trimend,index.ts,0
string.prototype.trimend,polyfill.ts,1
string.prototype.trimend,shim.ts,0
string.prototype.trimstart,auto.ts,0
string.prototype.trimstart,implementation.ts,1
string.prototype.trimstart,index.ts,0
string.prototype.trimstart,polyfill.ts,1
string.prototype.trimstart,shim.ts,0
timers-browserify,example/enroll/js/browserify.ts,51
timers-browserify,example/enroll/js/main.ts,1
timers-browserify,example/enroll/server.ts,3
timers-browserify,main.ts,4
to-object-path,example.ts,3
to-object-path,index.ts,0
union-value,index.ts,6
unique-slug,.commitlintrc.ts,0
unique-slug,.eslintrc.ts,0
unique-slug,lib/index.ts,0
