Package,File,"Number of errors"
abab,index.ts,2
abab,karma.conf.ts,0
abab,lib/atob.ts,5
abab,lib/btoa.ts,15
abbrev,abbrev.ts,5
acorn-jsx,index.ts,22
acorn-jsx,xhtml.ts,0
ansi-colors,bench/colors.ts,8
ansi-colors,bench/dryrun.ts,0
ansi-colors,bench/index.ts,0
ansi-colors,bench/load-ansi-colors.ts,0
ansi-colors,bench/load-chalk.ts,0
ansi-colors,examples/alias.ts,1
ansi-colors,examples/chained.ts,4
ansi-colors,examples/colors.ts,2
ansi-colors,examples/nested.ts,1
ansi-colors,examples/nesting-bug.ts,4
ansi-colors,examples/ok.ts,0
ansi-colors,examples/readme-examples.ts,2
ansi-colors,examples/screenshot-table.ts,1
ansi-colors,examples/screenshot.ts,1
ansi-colors,examples/styles.ts,3
ansi-colors,examples/theme-custom-fn.ts,2
ansi-colors,examples/theme.ts,3
ansi-colors,examples/theme2.ts,1
ansi-colors,examples/unstyle.ts,1
ansi-colors,index.ts,53
ansi-colors,symbols.ts,1
ansi-regex,fixtures/ansi-codes.ts,0
ansi-regex,fixtures/view-codes.ts,4
ansi-regex,index.ts,1
ansi-styles,index.ts,17
ansi-styles,screenshot.ts,2
arg,index.ts,9
arr-union,benchmark/check.ts,0
arr-union,benchmark/code/2-1-0.ts,1
arr-union,benchmark/code/array-union.ts,0
arr-union,benchmark/code/concat-apply.ts,1
arr-union,benchmark/code/current.ts,0
arr-union,benchmark/code/for-concat.ts,0
arr-union,benchmark/code/for-each.ts,0
arr-union,benchmark/code/for-in.ts,0
arr-union,benchmark/code/for.ts,0
arr-union,benchmark/code/reduce.ts,0
arr-union,benchmark/code/while-concat-push.ts,1
arr-union,benchmark/code/while-concat.ts,0
arr-union,benchmark/code/while-continue-for.ts,0
arr-union,benchmark/code/while-for-unique.ts,0
arr-union,benchmark/code/while-for.ts,0
arr-union,benchmark/code/while-push-apply.ts,0
arr-union,benchmark/code/while-seen.ts,3
arr-union,benchmark/code/while-while-unique.ts,0
arr-union,benchmark/code/while-while.ts,1
arr-union,benchmark/fixtures/five-arrays.ts,0
