"Package","Number of deps","Lines of JS code","Number of JS files","Size of files JS (bytes)","Lines of TS code","Number of TS files","Size of TS (bytes)"
@npmcli_move-file,2,638,5,22489,0,0,0
@sinonjs_commons,1,674,29,26814,0,0,0
array-includes,5,209,9,9517,0,0,0
asn1.js,4,3112,27,117495,0,0,0
browserify-rsa,2,69,2,2364,0,0,0
browserify-zlib,1,1910,28,68557,0,0,0
capture-exit,1,573,7,19659,0,0,0
create-ecdh,2,223,3,7029,0,0,0
des.js,2,900,11,28944,0,0,0
ecc-jsbn,1,715,4,22935,0,0,0
eslint-import-resolver-node,13,20771,420,879604,226,49,5508
esrecurse,1,442,3,16838,0,0,0
for-each,1,209,2,7300,0,0,0
fs-write-stream-atomic,4,452,7,15873,0,0,0
get-symbol-description,2,94,3,3267,0,0,0
has-tostringtag,1,75,6,2994,0,0,0
has-values,1,118,2,3268,0,0,0
is-nan,2,103,8,3493,0,0,0
is-symbol,1,111,2,3392,0,0,0
is-weakset,2,76,2,1947,0,0,0
jsprim,4,1870,11,61225,0,0,0
levn,2,459,3,12524,0,0,0
makeerror,1,188,2,8293,0,0,0
miller-rabin,2,99,2,3184,0,0,0
mississippi,10,10,1,463,0,0,0
object-is,2,135,9,4213,0,0,0
object.assign,4,447,13,18235,0,0,0
object.entries,3,173,9,6454,0,0,0
object.values,3,173,9,6288,0,0,0
regenerate-unicode-properties,1,1759,424,573111,0,0,0
regexp.prototype.flags,3,290,9,9958,0,0,0
request-promise-core,1,1865,10,73932,0,0,0
shallow-clone,1,132,2,4202,0,0,0
side-channel,3,164,2,5279,0,0,0
snapdragon-util,1,1447,4,71000,0,0,0
source-map-resolve,2,1661,5,60325,0,0,0
stream-browserify,2,137,5,5880,0,0,0
string.prototype.trimend,3,135,9,5759,0,0,0
string.prototype.trimstart,3,135,9,5819,0,0,0
timers-browserify,1,268,4,14192,0,0,0
to-object-path,1,89,3,2918,0,0,0
union-value,2,60,2,1996,0,0,0
unique-slug,1,42,4,1534,0,0,0
