Package,File,"Number of errors"
@gar_promisify,index.ts,3
@humanwhocodes_object-schema,.eslintrc.ts,0
@humanwhocodes_object-schema,src/index.ts,0
@humanwhocodes_object-schema,src/merge-strategy.ts,1
@humanwhocodes_object-schema,src/object-schema.ts,2
@humanwhocodes_object-schema,src/validation-strategy.ts,1
@sellside_emitter,examples.ts,5
@sellside_emitter,index.ts,28
acorn-import-assertions,post-build.ts,0
acorn-import-assertions,src/index.ts,8
aproba,index.ts,10
arr-flatten,benchmark/check.ts,0
arr-flatten,benchmark/code/arr-flatten-0.1.0 (do-while).ts,0
arr-flatten,benchmark/code/arr-flatten-0.2.0.ts,0
arr-flatten,benchmark/code/arr-flatten-1.0.1.ts,0
arr-flatten,benchmark/code/compute-flatten.ts,0
arr-flatten,benchmark/code/do-while-slice.ts,0
arr-flatten,benchmark/code/flatit.ts,0
arr-flatten,benchmark/code/flatten-array.ts,0
arr-flatten,benchmark/code/flatten.ts,0
arr-flatten,benchmark/code/just-flatten-it.ts,0
arr-flatten,benchmark/code/lib-array-flatten.ts,0
arr-flatten,benchmark/code/lodash.flattendeep.ts,0
arr-flatten,benchmark/code/m_flattened.ts,0
arr-flatten,benchmark/code/utils-flatten.ts,0
arr-flatten,benchmark/fixtures/med.ts,0
arr-flatten,benchmark/fixtures/small-med.ts,0
arr-flatten,benchmark/fixtures/small.ts,0
arr-flatten,benchmark/index.ts,0
arr-flatten,benchmark/libs.ts,0
arr-flatten,index.ts,0
assign-symbols,example.ts,0
assign-symbols,index.ts,4
async-each,index.ts,3
async-limiter,example/index.ts,4
async-limiter,index.ts,4
asynckit,bench.ts,2
asynckit,index.ts,0
asynckit,lib/abort.ts,1
asynckit,lib/async.ts,2
asynckit,lib/defer.ts,1
asynckit,lib/iterate.ts,2
asynckit,lib/readable_asynckit.ts,1
asynckit,lib/readable_parallel.ts,2
asynckit,lib/readable_serial.ts,2
asynckit,lib/readable_serial_ordered.ts,1
asynckit,lib/state.ts,0
asynckit,lib/streamify.ts,0
asynckit,lib/terminator.ts,2
asynckit,parallel.ts,3
asynckit,serial.ts,2
asynckit,serialOrdered.ts,6
asynckit,stream.ts,4
at-least-node,index.ts,0
available-typed-arrays,index.ts,0
aws-sign2,index.ts,4
buffer-equal-constant-time,index.ts,0
builtin-status-codes,browser.ts,0
builtin-status-codes,build.ts,0
builtin-status-codes,index.ts,0
cli-width,index.ts,0
code-point-at,index.ts,0
console-browserify,index.ts,6
console-control-strings,index.ts,1
copy-descriptor,examples/proto.ts,2
copy-descriptor,index.ts,0
core-util-is,lib/util.ts,0
cyclist,index.ts,0
deep-is,example/cmp.ts,0
deep-is,index.ts,10
delayed-stream,lib/delayed_stream.ts,0
domain-browser,source/index.ts,2
duplexer,index.ts,5
es6-object-assign,auto.ts,0
es6-object-assign,dist/object-assign-auto.min.ts,9
es6-object-assign,dist/object-assign-auto.ts,4
es6-object-assign,dist/object-assign.min.ts,8
es6-object-assign,dist/object-assign.ts,7
es6-object-assign,index.ts,0
figgy-pudding,index.ts,19
for-in,index.ts,0
fs-constants,browser.ts,0
fs-constants,index.ts,0
fs-monkey,demo/fs-1.ts,NA
fs-monkey,demo/require-1.ts,NA
fs-monkey,demo/require-2.ts,NA
fs-monkey,demo/yolo-1.ts,NA
fs-monkey,src/correctPath.ts,NA
fs-monkey,src/index.ts,NA
fs-monkey,src/patchRequire.ts,NA
fs-monkey,src/util/lists.ts,NA
fs.realpath,.github/workflows/package-json-repo.ts,0
fs.realpath,index.ts,0
fs.realpath,old.ts,15
growly,example/bakery.ts,0
growly,example/simple.ts,0
growly,lib/gntp.ts,7
growly,lib/growly.ts,2
har-schema,lib/index.ts,0
has-bigints,index.ts,0
has-unicode,index.ts,2
infer-owner,index.ts,3
is-accessor-descriptor,index.ts,5
is-arrayish,index.ts,0
is-descriptor,index.ts,3
is-extglob,index.ts,0
is-map,index.ts,0
is-negative-zero,index.ts,1
is-potential-custom-element-name,build.ts,0
is-potential-custom-element-name,index.ts,1
is-primitive,bench.ts,10
is-primitive,index.ts,0
